source,target,value
Data,Linear,6
Data,Logistic,15
Data,Miscellaneous,2
Data,Poisson,6
Linear,Variables | Draws,1
Linear,Variables | Players,6
Linear,Variables | League,4
Linear,Variables | Referees,4
Logistic,0 covariate,2
Logistic,1 covariate,2
Logistic,2 covariates,6
Logistic,3 covariates,2
Logistic,4 covariates,1
Logistic,6 covariates,2
Poisson,1 covariate,3
Poisson,2 covariates,2
Poisson,6 covariates,1
Miscellaneous,0 covariate,1
Miscellaneous,3 covariates,1
1 covariate,2.93,1
3 covariates,2.88,1
0 covariate,1.71,1
2 covariates,1.48,1
1 covariate,1.41,1
1 covariate,1.4,1
0 covariate,1.39,1
1 covariate,1.39,1
6 covariates,1.39,1
0 covariate,1.38,1
2 covariates,1.38,1
3 covariates,1.38,1
2 covariates,1.32,1
2 covariates,1.31,1
2 covariates,1.31,1
6 covariates,1.3,1
3 covariates,1.28,1
6 covariates,1.28,1
3 covariates,1.21,1
6 covariates,1.21,1
4 covariates,1.19,1
7 covariates,1.18,1
6 covariates,1.12,1
2 covariates,1.1,1
3 covariates,1.03,1
1 covariate,1.02,1
4 covariates,1,1
2 covariates,0.96,1
2 covariates,0.89,1